question,answer,source_page
"In the quotient group G/N where G = {0, 1, 2, 3, 4, 5} (addition modulo 6) and N = {0, 3}, what are the cosets and to what group is G/N isomorphic?","The quotient group G/N consists of three cosets: {0, 3}, {1, 4}, and {2, 5}, which can be written as 0+N, 1+N, and 2+N respectively. This quotient group is isomorphic to the cyclic group of order 3. The cosets partition G into three disjoint subsets, each containing two elements.",Quotient Group
Why is the quotient group called a 'quotient' and how does it relate to division of integers?,"The quotient group G/N is analogous to integer division: just as 12 ÷ 3 = 4 represents regrouping 12 objects into 4 collections of 3, the quotient group regroups G using cosets of N. However, unlike integer division which yields just a number, the quotient group G/N retains the group structure and contains more information than merely the count of cosets.",Quotient Group
"What is the quotient group ℤ/2ℤ, and what are its cosets?","The quotient group ℤ/2ℤ is formed by the group of integers ℤ under addition and the subgroup 2ℤ of all even integers. There are exactly two cosets: the set of even integers (the subgroup itself) and the set of odd integers. This quotient group is a cyclic group with two elements, isomorphic to {0, 1} with addition modulo 2.",Quotient Group
"Why is the set of even integers H = ker(γ) a subgroup of ℤ, where γ(m) gives the remainder when m is divided by 2?","H is a subgroup because it satisfies three conditions: (1) the identity 0 ∈ ℤ is in H (since 0 is even), (2) H is closed under addition (the sum of two even integers is even), and (3) H contains inverses (if m is even, then −m is also even). These properties ensure H is a subgroup of ℤ.",Quotient Group
"What is the structure of the quotient group ℤ/nℤ, and how do its elements relate to integer division?","The quotient group ℤ/nℤ consists of cosets {nℤ, 1+nℤ, …, (n-1)+nℤ}, where an integer k belongs to the coset r+nℤ if r is the remainder when dividing k by n. This quotient group can be thought of as the group of ""remainders"" modulo n, and it forms a cyclic group of order n.",Quotient Group
"In the example of twelfth roots of unity, what is the quotient group G/N where G is the group of twelfth roots of unity and N is the subgroup of fourth roots of unity?","The quotient group G/N is isomorphic to the cyclic group with three elements. The normal subgroup N (fourth roots of unity) partitions G into three cosets, and these cosets themselves form a group structure under multiplication, which corresponds to a ""group of three colors"" that is cyclic of order 3.",Quotient Group
"What is the quotient group ℝ/ℤ isomorphic to, and what is an explicit isomorphism?","The quotient group ℝ/ℤ is isomorphic to the circle group, which consists of complex numbers of absolute value 1 under multiplication, or equivalently the special orthogonal group SO(2) of rotations in 2D about the origin. An explicit isomorphism is given by f(a + ℤ) = exp(2πia), where a ∈ [0,1) represents the coset.",Quotient Group
"In the example of ℤ₄ with subgroup {0, 2}, what is the quotient group ℤ₄/{0, 2} and what group is it isomorphic to?","The quotient group ℤ₄/{0, 2} consists of two cosets: {{0, 2}, {1, 3}}, where {0, 2} is the identity element. Addition is performed by adding representatives and reducing modulo the subgroup, for example {0, 2} + {1, 3} = {1, 3}. This quotient group is isomorphic to ℤ₂.",Quotient Group
"In the context of the multiplicative group G = (ℤ_{n²})ˣ, what is the subgroup N and what properties does it have?","The subgroup N is the set of n-th residues in (ℤ_{n²})ˣ, which forms a multiplicative subgroup isomorphic to (ℤ_n)ˣ. This subgroup N is normal in G, allowing us to form the quotient group G/N. The factor group G/N consists of cosets of the form N, (1+n)N, (1+n)²N, ..., (1+n)^(n-1)N.",Quotient Group
What cryptographic application is based on the quotient group structure of (ℤ_{n²})ˣ modulo its subgroup of n-th residues?,The Paillier cryptosystem is based on this quotient group structure. Its security relies on the conjecture that it is computationally difficult to determine which coset a random element of G = (ℤ_{n²})ˣ belongs to without knowing the factorization of n.,Quotient Group
"What is the canonical projection map in the context of quotient groups, and what is its kernel?","The canonical projection is the natural surjective group homomorphism π: G → G/N defined by π(g) = gN, which sends each element g ∈ G to the coset of N containing g. The kernel of this map is precisely N, meaning ker(π) = N.",Quotient Group
"If H is a subgroup of a finite group G whose order is half the order of G, what can be concluded about H and the quotient G/H?","H is guaranteed to be a normal subgroup of G, so the quotient group G/H exists. Furthermore, G/H is isomorphic to C₂ (the cyclic group of order 2). This is a special case of the result that any subgroup of index 2 is normal.",Quotient Group
"What is the canonical projection in the context of quotient groups, and what is its kernel?","The canonical projection is the natural surjective group homomorphism π: G → G/N defined by π(g) = gN, which sends each element g ∈ G to the coset of N containing g. The kernel of this homomorphism is N itself. This map preserves the group structure and is fundamental in connecting G with its quotient group G/N.",Quotient Group
"If H is a subgroup of a finite group G with order equal to half the order of G, what can be concluded about H and the quotient G/H?","If the order of H is half the order of G, then H is guaranteed to be a normal subgroup of G. Consequently, the quotient group G/H exists and is isomorphic to C₂ (the cyclic group of order 2). This result generalizes to: any subgroup of index 2 is normal, which holds for infinite groups as well.",Quotient Group
Under what conditions is the quotient G/N of a Lie group G by a subgroup N also a Lie group?,"The quotient G/N is a Lie group if N is a normal and topologically closed Lie subgroup of G. In this case, G has the structure of a principal N-bundle with base space G/N and fiber N, and dim(G/N) = dim(G) − dim(N). The closure condition is necessary; without it, G/N fails to be Hausdorff.",Quotient Group
What is a homogeneous space in the context of Lie groups?,"A homogeneous space is the space G/N of left cosets when N is a non-normal Lie subgroup of a Lie group G. Unlike the case when N is normal, G/N is not a group but rather a differentiable manifold on which G acts. This generalizes the quotient construction to non-normal subgroups.",Quotient Group
What is a subgroup of a group G?,"A subgroup of a group G is a subset H of G that forms a group under the same operation as G. Formally, H ≤ G means that the restriction of G's binary operation to H × H makes H into a group. This requires H to be nonempty and closed under products and inverses.",Subgroup
What conditions must a finite subset H of a group G satisfy to be a subgroup?,"For a finite subset H of G, it suffices to check that H is nonempty and closed under products (i.e., for every a, b ∈ H, the product ab is also in H). Closure under inverses is automatic in the finite case because each element a generates a finite cyclic subgroup, making a^(n-1) the inverse of a, which is already in H.",Subgroup
When is the union of two subgroups A and B itself a subgroup?,"The union of subgroups A and B is a subgroup if and only if A ⊆ B or B ⊆ A. For example, 2ℤ ∪ 3ℤ is not a subgroup of ℤ because neither 2ℤ ⊆ 3ℤ nor 3ℤ ⊆ 2ℤ holds, and the sum 2 + 3 = 5 is in the union but violates closure.",Subgroup
"What is the subgroup generated by a subset S of a group G, denoted ⟨S⟩?","The subgroup generated by S, denoted ⟨S⟩, is the smallest subgroup of G containing S. It is defined as the intersection of all subgroups containing S. An element is in ⟨S⟩ if and only if it can be expressed as a finite product of elements from S and their inverses, possibly with repetitions.",Subgroup
State Lagrange's theorem and explain what it tells us about the relationship between the order of a subgroup and the order of the group.,"Lagrange's theorem states that for a finite group G and a subgroup H, [G:H] = |G|/|H|, where [G:H] is the index of H in G. This means the order of any subgroup H must divide the order of G. Consequently, the order of every element of G must also be a divisor of |G|.",Subgroup
"How many subgroups does the cyclic group Z₈ have, and what are their orders?","Z₈ has four subgroups, one for each divisor of 8. These are: {0,1,2,3,4,5,6,7} with order 8, {0,2,4,6} with order 4, {0,4} with order 2, and {0} with order 1. In general, for each divisor d of 8, the multiples of d form a subgroup of order 8/d.",Subgroup
"How many subgroups of order 8 does S₄ have, and what are they isomorphic to?","S₄ has three subgroups of order 8, each isomorphic to the dihedral group D₄ (the symmetry group of a square). These three subgroups are conjugate to each other and arise from the three different ways to label the vertices of a square (distinguished by which pairs of numbers appear on opposite corners).",Subgroup
Describe the normal subgroup of order 4 in S₄.,"The subset {1, (12)(34), (13)(24), (14)(23)} forms a normal subgroup of S₄ isomorphic to the Klein four-group V₄. This is one of seven subgroups of order 4 in S₄, and it is the only one among them that is normal.",Subgroup
"How many subgroups of order 2 exist in the symmetric group S₄, and how are they classified?","There are nine subgroups of order 2 in S₄, falling into two conjugacy classes. Six of these are generated by transpositions (2-cycles) and form one conjugacy class. The remaining three are generated by double-transpositions like (12)(34), (13)(24), and (14)(23), forming the second conjugacy class.",Subgroup
Give an example of a subgroup of the integers ℤ under addition.,"The even integers 2ℤ form a subgroup of ℤ. This is because the sum of two even integers is even (closure under addition), and the negative of an even integer is even (closure under inverses). The identity element 0 is also even.",Subgroup
What is the symmetric group S_n and what is its order?,"The symmetric group S_n is the group of all bijections (permutations) from a finite set of n symbols to itself, with composition of functions as the group operation. Its order is n! because there are exactly n! distinct permutations of n symbols.",Symmetric Group
State Cayley's theorem regarding symmetric groups.,Cayley's theorem states that every group G is isomorphic to a subgroup of the symmetric group on the underlying set of G. This means any abstract group can be realized concretely as a group of permutations.,Symmetric Group
"What is the symmetric group on a finite set X, and what is its group operation?","The symmetric group on a finite set X is the group whose elements are all bijective functions from X to X. The group operation is function composition. For finite sets, the elements are also called permutations, which represent rearrangements of the set.",Symmetric Group
"What is the order of the symmetric group Sₙ, and for which values of n is it abelian?","The symmetric group on a set of n elements has order n! (n factorial). The group Sₙ is abelian if and only if n ≤ 2. For n = 0 and n = 1, the symmetric groups are trivial with order 1.",Symmetric Group
"What is the group operation in a symmetric group, and how is composition of permutations defined?","The group operation in a symmetric group is function composition, denoted by ∘ or simple juxtaposition. The composition f ∘ g of permutations f and g maps any element x to f(g(x)), meaning g is applied first, then f. This composition is always associative and closed within the set of permutations.",Symmetric Group
What are the four group axioms that must be verified to show the symmetric group on a set X is indeed a group?,The four group axioms are: (1) closure—function composition is closed in the set of permutations of X; (2) associativity—function composition is always associative; (3) identity—the trivial bijection mapping each element to itself serves as the identity; and (4) inverses—every bijection has an inverse function that is also a permutation.,Symmetric Group
"What is a transposition, and how does it relate to the classification of permutations as even or odd?","A transposition is a permutation that exchanges exactly two elements while keeping all others fixed, such as (1 3). Every permutation can be written as a product of transpositions, and the number of transpositions needed is either always even or always odd for a given permutation. If this number is odd, the permutation is called an odd permutation; if even, it is an even permutation.",Symmetric Group
What is the alternating group A_n and how is it related to the symmetric group S_n?,"The alternating group A_n is the kernel of the sign homomorphism sgn: S_n → {+1, −1}, consisting of all even permutations in S_n. It is a normal subgroup of S_n, and for n ≥ 2, it contains exactly n!/2 elements. The group S_n can be expressed as the semidirect product of A_n and any subgroup generated by a single transposition.",Symmetric Group
"What is a cycle of length k in a permutation, and what is the conventional requirement for k?","A cycle of length k is a permutation f for which there exists an element x in {1, ..., n} such that x, f(x), f²(x), ..., f^(k-1)(x) are the only elements moved by f, and f^k(x) = x. It is conventionally required that k ≥ 2, since with k = 1 the element x itself would not be moved either.",Symmetric Group
State the conjugation property for cycles in the symmetric group.,"For any permutation σ and any cycle (a b c ...), the conjugation property states that σ(a b c ...)σ^(-1) = (σ(a) σ(b) σ(c) ...). This means conjugating a cycle by a permutation σ produces a new cycle whose elements are the images of the original cycle's elements under σ. This property is often used to obtain generators and relations for symmetric groups.",Symmetric Group
"What is the order reversing permutation in the symmetric group S_n, and what are its key properties?","The order reversing permutation maps each element i to n+1−i, sending 1→n, 2→n−1, etc. It is an involution (its own inverse), the unique maximal element in the Bruhat order, and the longest element with respect to adjacent transpositions. It can be written as ⌊n/2⌋ non-adjacent transpositions or n(n−1)/2 adjacent transpositions.",Symmetric Group
What is the sign of the order reversing permutation ρ_n in S_n?,"The sign is sgn(ρ_n) = (−1)^(n(n−1)/2). This equals +1 when n ≡ 0 or 1 (mod 4), and −1 when n ≡ 2 or 3 (mod 4). Notably, the perfect shuffle on 2n elements has the same sign (−1)^⌊n/2⌋, which is important in the classification of Clifford algebras.",Symmetric Group
What determines whether two permutations in the symmetric group Sₙ are conjugate?,"Two permutations in Sₙ are conjugate if and only if they have the same cycle type, meaning they consist of the same number of disjoint cycles of the same lengths. For example, in S₅, (1 2 3)(4 5) and (1 4 3)(2 5) are conjugate because both consist of one 3-cycle and one 2-cycle.",Symmetric Group
How do conjugacy classes of Sₙ relate to integer partitions of n?,"Each conjugacy class of Sₙ corresponds to an integer partition μ = (μ₁, μ₂, ..., μₖ) of n, where n = ∑μᵢ and μ₁ ≥ μ₂ ≥ ... ≥ μₖ. The conjugacy class Cμ consists of all permutations with cycles of lengths μ₁, μ₂, ..., μₖ, and elements in this class are said to have cycle-type μ.",Symmetric Group
What is the significance of S₅ being non-solvable in Galois theory?,S₅ is the Galois group of the general quintic equation. The fact that S₅ is not a solvable group translates into the non-existence of a general formula to solve quintic polynomials by radicals. This establishes a fundamental limitation on solving polynomial equations using radicals.,Symmetric Group
What exceptional property does S₆ have that distinguishes it from all other symmetric groups?,"Unlike all other symmetric groups, S₆ has an outer automorphism. This automorphism arises from an exotic inclusion map S₅ → S₆ as a transitive subgroup, which differs from the obvious inclusion S₅ → S₆ that fixes a point. This outer automorphism can be understood using Lagrange resolvents and the resolvent sextic of a quintic.",Symmetric Group
"Why is S₅ significant in Galois theory, particularly regarding quintic polynomials?","S₅ is the Galois group of the general quintic equation and is the first non-solvable symmetric group. The fact that S₅ is not solvable translates directly into the non-existence of a general formula to solve quintic polynomials by radicals, unlike quadratic, cubic, and quartic polynomials which can be solved by radicals.",Symmetric Group
What is unique about the symmetric group S₆ compared to all other symmetric groups?,"Unlike all other symmetric groups, S₆ has an outer automorphism. This exceptional property arises from an exotic inclusion map S₅ → S₆ as a transitive subgroup (rather than the obvious inclusion that fixes a point). This outer automorphism can be understood through Lagrange resolvents and corresponds to the resolvent sextic of a quintic polynomial.",Symmetric Group
What are the generators of the symmetric group Sₙ and what relations do they satisfy?,"The symmetric group Sₙ is generated by the adjacent transpositions σᵢ = (i, i+1) for i = 1, …, n−1. These generators satisfy three key relations: σᵢ² = 1 (each transposition is its own inverse), σᵢσⱼ = σⱼσᵢ for |i−j| > 1 (non-adjacent transpositions commute), and (σᵢσᵢ₊₁)³ = 1 (the braid relation for adjacent transpositions). This presentation gives Sₙ the structure of a Coxeter group.",Symmetric Group
"For n ≥ 5, what is the relationship between Sₙ and the alternating group Aₙ in terms of normal subgroups?","For n ≥ 5, the alternating group Aₙ is simple and is the only nontrivial proper normal subgroup of Sₙ. The symmetric group Sₙ can be expressed as the semidirect product Aₙ ⋊ S₂, where the quotient Sₙ/Aₙ ≅ S₂ is given by the sign map. Any other proper normal subgroup would have to intersect Aₙ trivially or fully, leading to contradictions, so none exist.",Symmetric Group
What are the nontrivial proper normal subgroups of the symmetric group Sₙ for n ≥ 5?,"For n ≥ 5, the alternating group Aₙ is the only nontrivial proper normal subgroup of Sₙ. The special case is n = 4, where there exists one additional nontrivial proper normal subgroup isomorphic to the Klein four group. For n ≤ 2, Sₙ has no nontrivial proper subgroups at all.",Symmetric Group
What are the three classes of maximal subgroups of the symmetric group Sₙ?,"The maximal subgroups of Sₙ fall into three classes: intransitive (of the form Sₖ × Sₙ₋ₖ for 1 ≤ k < n/2), imprimitive (of the form Sₖ wr Sₙ/ₖ where k is a proper divisor of n with 2 ≤ k ≤ n/2), and primitive (which are more complex and described using the O'Nan–Scott theorem and the classification of finite simple groups).",Symmetric Group
"What is the order of a Sylow p-subgroup of the symmetric group S_p, and how many such subgroups are there?","A Sylow p-subgroup of S_p is a cyclic subgroup generated by a p-cycle, so it has order p. The number of such subgroups is (p − 2)!, obtained by counting the number of p-cycles and dividing by the number of generators (p − 1) per subgroup. The normalizer of such a subgroup has order p(p − 1) and is isomorphic to the affine general linear group AGL(1, p).",Symmetric Group
What does Cayley's theorem state about finite groups and symmetric groups?,"Cayley's theorem states that every group G is isomorphic to a subgroup of some symmetric group. Specifically, G can be embedded into the symmetric group on its own elements, using the faithful action of G on itself by left (or right) multiplication. This shows that every abstract group can be realized concretely as a group of permutations.",Symmetric Group
How do you determine the order of a cyclic subgroup generated by a permutation in cycle notation?,"The order of a cyclic subgroup generated by a permutation is the least common multiple (LCM) of the lengths of its cycles. For example, in S₅, the permutation (13254) generates a cyclic subgroup of order 5, while (123)(45) generates a cyclic subgroup of order lcm(3,2) = 6. This is because the order of a permutation equals the LCM of its cycle lengths.",Symmetric Group
"What is special about the automorphism group of S_n for n ≠ 2, 6?","For n ≠ 2, 6, the symmetric group Sₙ is a complete group, meaning both its center and outer automorphism group are trivial. In other words, every automorphism of Sₙ is inner (conjugation by an element of Sₙ), and the only elements that commute with all group elements are identity. The exceptions are S₂ (which is abelian) and S₆ (which has an outer automorphism of order 2).",Symmetric Group
What is the first homology group (abelianization) of the symmetric group Sₙ?,"The first homology group H₁(Sₙ, ℤ) equals 0 for n < 2 and ℤ/2 for n ≥ 2. This corresponds to the sign map Sₙ → S₂, which is the abelianization for n ≥ 2. For n < 2, the symmetric group is trivial, so its abelianization is zero.",Symmetric Group
What is the second homology group (Schur multiplier) of the symmetric group Sₙ?,"The second homology group H₂(Sₙ, ℤ) equals 0 for n < 4 and ℤ/2 for n ≥ 4. This was computed by Schur in 1911 and corresponds to the double cover of the symmetric group, denoted 2·Sₙ.",Symmetric Group
How many inequivalent irreducible representations does the symmetric group Sₙ have over the complex numbers?,"The number of inequivalent irreducible representations of Sₙ over the complex numbers equals the number of partitions of n. This follows from the representation theory of finite groups, since conjugacy classes of Sₙ are labeled by partitions of n. These irreducible representations can be naturally parametrized by Young diagrams of size n.",Symmetric Group
What are Specht modules in the representation theory of symmetric groups?,"Specht modules are modules constructed by taking irreducible representations defined over the integers and reducing them modulo the characteristic of a field. In general, these modules are not irreducible. However, every irreducible representation of the symmetric group over an arbitrary field arises inside some Specht module.",Symmetric Group
